
,,"Dying Light
new historical low",-85%,"R$ 7,65",94.24%,Jan 2015,,
,,"Alba: A Wildlife Adventure
new historical low",-75%,"R$ 13,12",94.21%,Dec 2020,,
,,"Carto
Midweek Deal",-70%,"R$ 11,39",93.54%,Oct 2020,,
,,"Unpacking
Midweek Deal",-50%,"R$ 29,99",90.91%,Nov 2021,,
,,"One Step From Eden
Midweek Deal",-60%,"R$ 15,19",90.59%,Mar 2020,,
,,"OTXO
new historical low",-50%,"R$ 14,49",89.75%,Apr 2023,,
,,"Poly Bridge
Midweek Deal",-90%,"R$ 2,06",89.25%,Jul 2016,,
,,"Return to Monkey Island
new historical low",-50%,"R$ 36,99",89.23%,Sep 2022,,
,,"Wizard of Legend
Midweek Deal",-70%,"R$ 9,29",88.93%,May 2018,,
,,"Minecraft Dungeons
new historical low",-50%,"R$ 37,47",88.82%,Sep 2021,,
,,"Forager
Midweek Deal",-65%,"R$ 13,29",88.52%,Apr 2019,,
,,"Ring of Pain
Midweek Deal",-70%,"R$ 11,39",88.35%,Oct 2020,,
,,"Assassin's Creed® Odyssey
new historical low",-85%,"R$ 26,99",88.16%,Oct 2018,,
,,"Anarcute
Midweek Deal",-80%,"R$ 7,19",86.56%,Jul 2016,,
,,"Old School Musical
Midweek Deal",-75%,"R$ 7,99",86.19%,Sep 2018,,
,,"Ikenfell
Midweek Deal",-70%,"R$ 11,39",86.14%,Oct 2020,,
,,"Hell Pie
new historical low",-66%,"R$ 25,15",85.93%,Jul 2022,,
,,"Another Lost Phone: Laura's Story
Midweek Deal",-72%,"R$ 2,23",85.83%,Sep 2017,,
,,"Drug Dealer Simulator
Week Long Deal
new historical low",-87%,"R$ 4,93",85.65%,Apr 2020,,
,,"A Normal Lost Phone
Midweek Deal",-72%,"R$ 2,23",85.31%,Jan 2017,,
,,"The Crackpet Show
new historical low",-75%,"R$ 11,75",84.00%,Dec 2022,,
,,"Dungeon Village
new historical low",-63%,"R$ 6,87",82.83%,Mar 2022,,
,,"Vampires' Melody 2
new historical low",-50%,"R$ 6,89",82.45%,Sep 2023,,
,,"Cyberpunk 2077
Top Seller",-50%,"R$ 99,95",81.50%,Dec 2020,,
,,"A Hat in Time
Midweek Deal
all-time low: R$ 27,99 at -50%",-50%,"R$ 44,49",96.07%,Oct 2017,,
,,"Inscryption
all-time low: R$ 24,97 at -69%",-50%,"R$ 24,99",95.56%,Oct 2021,,
,,"American Truck Simulator
Weekend Deal
all-time low: R$ 7,74 at -94%",-75%,"R$ 15,49",95.51%,Feb 2016,,
,,"One Finger Death Punch
Week Long Deal
all-time low: R$ 1,69 at -80%",-78%,"R$ 1,86",95.38%,Mar 2014,,
,,Don't Starve,-75%,"R$ 5,17",95.30%,Apr 2013,,
,,Risk of Rain 2,-50%,"R$ 29,99",95.23%,Aug 2020,,
,,Sid Meier's Civilization® V,-75%,"R$ 11,24",94.98%,Sep 2010,,
,,LIZARDS MUST DIE,-50%,"R$ 3,49",94.87%,Sep 2023,,
,,"Vampires' Melody
all-time low: R$ 2,60 at -70%",-80%,"R$ 2,75",94.11%,Oct 2020,,
,,"Ultimate Chicken Horse
Midweek Deal
all-time low: R$ 12,03 at -57%",-65%,"R$ 15,74",93.94%,Mar 2016,,
,,Valheim,-50%,"R$ 18,99",93.82%,Feb 2021,,
,,My Friend Pedro,-75%,"R$ 14,99",93.64%,Jun 2019,,
,,Monster Prom 2: Monster Camp,-66%,"R$ 8,46",93.40%,Oct 2020,,
,,"One Finger Death Punch 2
Week Long Deal",-75%,"R$ 4,14",92.69%,Apr 2019,,
,,Marvel's Guardians of the Galaxy,-75%,"R$ 62,49",92.53%,Oct 2021,,
,,"ISLANDERS
Daily Deal
current 2-year low",-65%,"R$ 5,94",92.38%,Apr 2019,,
,,"Cities: Skylines
Weekend Deal
2-year low: R$ 13,99",-70%,"R$ 32,39",92.25%,Mar 2015,,
,,"Epistory - Typing Chronicles
Midweek Deal
2-year low: R$ 12,49",-70%,"R$ 12,89",91.67%,Mar 2016,,
,,Risk of Rain (2013),-80%,"R$ 3,99",91.51%,Nov 2013,,
,,Death's Door,-75%,"R$ 14,99",91.17%,Jul 2021,,
,,Torchlight II,-80%,"R$ 6,99",91.16%,Sep 2012,,
,,"Project Wingman
Midweek Deal
current 2-year low",-50%,"R$ 23,74",91.15%,Dec 2020,,
,,"Thomas Was Alone
Week Long Deal",-80%,"R$ 3,39",91.00%,Nov 2012,,
,,The Messenger,-80%,"R$ 11,99",90.97%,Aug 2018,,
,,Dead Estate,-50%,"R$ 8,99",90.97%,Oct 2021,,
,,McPixel 3,-80%,"R$ 6,59",90.96%,Nov 2022,,
,,Spelunky 2,-50%,"R$ 18,99",90.81%,Sep 2020,,
,,"Wrestling Empire
Daily Deal
all-time low: R$ 18,99 at -50%",-50%,"R$ 29,99",90.50%,Jul 2021,,
,,Death Road to Canada,-75%,"R$ 6,99",90.31%,Jul 2016,,
,,"Crusader Kings III
Weekend Deal
2-year low: R$ 67,49",-60%,"R$ 71,99",90.22%,Sep 2020,,
,,"Victoria II
Weekend Deal
2-year low: R$ 6,99",-75%,"R$ 17,99",90.19%,Aug 2010,,
,,"Hearts of Iron IV
Weekend Deal
all-time low: R$ 18,24 at -75%",-70%,"R$ 53,99",90.14%,Jun 2016,,
,,Evil Genius,-90%,"R$ 1,99",89.90%,Sep 2004,,
,,ΔV: Rings of Saturn,-50%,"R$ 10,34",89.40%,Jul 2023,,
,,Choice of Life: Middle Ages 2,-50%,"R$ 11,75",89.37%,Sep 2022,,
,,Sid Meier's Civilization® IV,-85%,"R$ 4,49",89.14%,Oct 2005,,
,,A Plague Tale: Requiem,-60%,"R$ 71,96",89.14%,Oct 2022,,
,,"Invisible, Inc.",-75%,"R$ 9,24",88.55%,May 2015,,
,,Slipways,-50%,"R$ 16,49",88.46%,Jun 2021,,
,,"Knights of Honor
Weekend Deal
2-year low: R$ 3,99",-75%,"R$ 8,99",88.39%,May 2005,,
,,Torchlight,-80%,"R$ 4,99",88.27%,Oct 2009,,
,,Lacuna – A Sci-Fi Noir Adventure,-80%,"R$ 6,19",88.19%,May 2021,,
,,"Prison Architect
Weekend Deal
2-year low: R$ 11,59",-80%,"R$ 21,59",88.19%,Oct 2015,,
,,"Monaco: What's Yours Is Mine
Midweek Deal
2-year low: R$ 3,69",-75%,"R$ 6,99",87.95%,Apr 2013,,
,,Curious Expedition,-80%,"R$ 5,59",87.78%,Sep 2016,,
,,Jupiter Hell,-60%,"R$ 18,99",87.62%,Aug 2021,,
,,"Marble It Up! Ultra
Daily Deal
all-time low: R$ 28,49 at -25%",-60%,"R$ 35,59",87.56%,Nov 2018,,
,,Card Shark,-50%,"R$ 29,99",87.56%,Jun 2022,,
,,"Element TD 2 - Tower Defense
Daily Deal
all-time low: R$ 14,49 at -50%",-50%,"R$ 20,00",87.53%,Apr 2021,,
,,The Witcher: Enhanced Edition Director's Cut,-85%,"R$ 2,54",87.52%,Sep 2008,,
,,"Splasher
Midweek Deal
2-year low: R$ 7,19",-77%,"R$ 8,27",87.52%,Feb 2017,,
,,Rollerdrome,-67%,"R$ 52,76",87.39%,Aug 2022,,
,,Life is Strange: True Colors,-70%,"R$ 89,97",87.31%,Sep 2021,,
,,"Blue Estate The Game
Midweek Deal
all-time low: R$ 6,49 at -75%",-65%,"R$ 9,09",87.27%,Apr 2015,,
,,"Shadowrun: Dragonfall - Director's Cut
Weekend Deal
2-year low: R$ 6,99",-75%,"R$ 13,49",86.83%,Sep 2014,,
,,"Majesty Gold HD
Weekend Deal
all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",86.83%,Mar 2001,,
,,"DJMAX RESPECT V
Week Long Deal",-80%,"R$ 19,79",86.81%,Mar 2020,,
,,Thronebreaker: The Witcher Tales,-75%,"R$ 13,99",86.65%,Nov 2018,,
,,Battlezone 98 Redux,-85%,"R$ 6,89",86.38%,Apr 2016,,
,,Sakura no Mori † Dreamers,-70%,"R$ 10,49",86.35%,Dec 2017,,
,,"Shadowrun Returns
Weekend Deal
2-year low: R$ 6,99",-75%,"R$ 13,49",86.29%,Jul 2013,,
,,Duskers,-50%,"R$ 18,49",86.27%,May 2016,,
,,The Medium,-60%,"R$ 63,96",86.20%,—,,
,,"Europa Universalis IV
Weekend Deal
2-year low: R$ 17,49",-70%,"R$ 43,19",86.05%,Aug 2013,,
,,S.W.I.N.E. HD Remaster,-80%,"R$ 4,13",85.89%,May 2019,,
,,"House of the Dying Sun
Week Long Deal",-70%,"R$ 11,09",85.88%,Nov 2016,,
,,Curious Expedition 2,-65%,"R$ 13,29",85.88%,Jan 2021,,
,,"Darkest Hour: A Hearts of Iron Game
Weekend Deal
all-time low: R$ 3,39 at -80%",-80%,"R$ 7,19",85.68%,Apr 2011,,
,,Hob,-80%,"R$ 7,39",85.65%,Sep 2017,,
,,"Expeditions: Rome
Week Long Deal",-60%,"R$ 33,99",85.59%,Jan 2022,,
,,Astronarch,-70%,"R$ 8,69",85.58%,Jan 2021,,
,,"Magicka
Weekend Deal
2-year low: R$ 4,24",-75%,"R$ 8,99",85.52%,Jan 2011,,
,,Lost Castle / 失落城堡,-60%,"R$ 7,99",85.43%,Sep 2016,,
,,Assassin's Creed® Origins,-85%,"R$ 26,99",85.30%,Oct 2017,,
,,Fury Unleashed,-85%,"R$ 8,99",85.14%,May 2020,,
,,"JoJo's Bizarre Adventure: All-Star Battle R
Week Long Deal",-70%,"R$ 60,75",85.07%,Sep 2022,,
,,"Tyranny
Weekend Deal
all-time low: R$ 14,49 at -75%",-75%,"R$ 26,99",84.71%,Nov 2016,,
,,"Tick Tock: A Tale for Two
Daily Deal
2-year low: R$ 6,19",-60%,"R$ 7,60",84.27%,Mar 2019,,
,,"ScourgeBringer
Midweek Deal",-75%,"R$ 9,99",84.22%,Oct 2020,,
,,"Knights of Pen and Paper 2
Weekend Deal
all-time low: R$ 3,99 at -75%",-75%,"R$ 7,24",83.80%,Oct 2015,,
,,"Shadowrun: Hong Kong - Extended Edition
Weekend Deal
all-time low: R$ 7,39 at -80%",-75%,"R$ 17,99",83.78%,Aug 2015,,
,,"Age of Wonders Shadow Magic
Weekend Deal
all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",83.23%,—,,
,,"Void Bastards
Midweek Deal",-70%,"R$ 17,39",83.23%,May 2019,,
,,"Surviving Mars
Weekend Deal
2-year low: R$ 14,49",-75%,"R$ 26,99",83.15%,Mar 2018,,
,,"Crying Suns
Midweek Deal",-70%,"R$ 14,24",83.14%,Sep 2019,,
,,"Sword of the Stars: Complete Collection
Weekend Deal
all-time low: R$ 4,24 at -75%",-75%,"R$ 8,99",82.84%,Oct 2008,,
,,"Warlock - Master of the Arcane
Weekend Deal
2-year low: R$ 11,49",-75%,"R$ 22,49",82.81%,May 2012,,
,,"Academia : School Simulator
Weekend Deal
all-time low: R$ 17,99 at -40%",-50%,"R$ 35,99",82.23%,Sep 2017,,
,,"BATTLETECH
Weekend Deal
all-time low: R$ 18,87 at -75%",-75%,"R$ 35,99",81.94%,Apr 2018,,
,,"Ice Lakes
Weekend Deal
all-time low: R$ 6,99 at -75%",-75%,"R$ 13,49",81.80%,Apr 2016,,
,,"Teleglitch: Die More Edition
Weekend Deal
all-time low: R$ 4,39 at -80%",-75%,"R$ 11,74",81.79%,Jul 2013,,
,,"Watch_Dogs® 2
Midweek Deal
current 2-year low",-85%,"R$ 22,49",81.65%,Nov 2016,,
,,"Hearts of Iron 2 Complete
Weekend Deal
all-time low: R$ 4,99 at -80%",-75%,"R$ 13,49",81.41%,Jan 2006,,
,,"Fae Tactics
Midweek Deal",-70%,"R$ 11,39",81.34%,Jul 2020,,
,,"King Arthur: Knight's Tale
Daily Deal",-60%,"R$ 48,79",81.33%,Apr 2022,,
,,"Temtem
Midweek Deal
all-time low: R$ 39,14 at -71%",-60%,"R$ 53,99",80.77%,Sep 2022,,
,,"Mechanic Escape
Midweek Deal",-80%,"R$ 2,49",80.73%,Apr 2014,,
,,"Magicka 2
Weekend Deal
all-time low: R$ 6,99 at -75%",-75%,"R$ 13,49",80.65%,May 2015,,
,,"Across the Obelisk
Weekend Deal
2-year low: R$ 30,39",-50%,"R$ 35,99",80.61%,Apr 2021,,
,,"Zombie Party
Midweek Deal
all-time low: R$ 3,99 at -80%",-80%,"R$ 4,13",80.37%,Jun 2016,,
,,"Europa Universalis III Complete
Weekend Deal
2-year low: R$ 4,99",-70%,"R$ 16,19",80.23%,Jan 2007,,
,,"Knights of Pen and Paper +1 Edition
Weekend Deal
all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",79.98%,Jun 2013,,
,,"Revita
Midweek Deal
new historical low",-50%,"R$ 19,99",79.66%,—,,
,,"Flynn: Son of Crimson
Midweek Deal
new historical low",-60%,"R$ 23,99",79.64%,Sep 2021,,
,,"Wildfire
Midweek Deal",-60%,"R$ 11,59",78.70%,May 2020,,
,,"Age of Wonders III
Weekend Deal
all-time low: R$ 13,99 at -75%",-75%,"R$ 26,99",78.63%,Mar 2014,,
,,"Age of Wonders: Planetfall
Weekend Deal
all-time low: R$ 23,49 at -75%",-66%,"R$ 36,71",78.05%,Aug 2019,,
,,"Finding Teddy
Midweek Deal",-80%,"R$ 2,79",77.73%,Dec 2013,,
,,"Staxel
Midweek Deal",-75%,"R$ 9,24",77.24%,Apr 2019,,
,,"Hotel Renovator
Daily Deal",-50%,"R$ 44,95",76.23%,Mar 2023,,
,,"Hellslave
Midweek Deal
new historical low",-75%,"R$ 11,49",75.97%,May 2022,,
,,"Aegis Defenders
Midweek Deal
current 2-year low",-75%,"R$ 9,24",75.59%,Feb 2018,,
,,"Watch_Dogs™
Midweek Deal
2-year low: R$ 13,49",-85%,"R$ 14,24",75.44%,May 2014,,
,,"Hearts of Iron III
Weekend Deal
2-year low: R$ 4,24",-75%,"R$ 8,99",75.10%,Aug 2009,,
,,"Nanotale - Typing Chronicles
Midweek Deal
new historical low",-60%,"R$ 18,39",74.95%,Mar 2021,,
,,"Age of Wonders
Weekend Deal
all-time low: R$ 1,99 at -80%",-75%,"R$ 5,49",74.90%,—,,
,,"Cities in Motion
Weekend Deal
all-time low: R$ 8,74 at -75%",-50%,"R$ 35,99",73.51%,Feb 2011,,
,,"Vampire: The Masquerade - Shadows of New York
Midweek Deal",-80%,"R$ 5,37",73.30%,Sep 2020,,
,,"Indies' Lies
Daily Deal
all-time low: R$ 23,19 at -20%",-50%,"R$ 23,49",72.95%,Jan 2023,,
,,"Popup Dungeon
Midweek Deal",-60%,"R$ 18,99",72.88%,Aug 2020,,
,,"Steel Division: Normandy 44
Weekend Deal
all-time low: R$ 18,24 at -75%",-66%,"R$ 24,47",72.77%,May 2017,,
,,"NeuroVoider
Midweek Deal
all-time low: R$ 6,79 at -80%",-75%,"R$ 8,49",72.57%,Aug 2016,,
,,"Internet Cafe Simulator 2
Daily Deal
all-time low: R$ 18,99 at -50%",-60%,"R$ 23,99",72.25%,Jan 2022,,
,,"DRIFT CE
Daily Deal
all-time low: R$ 29,70 at -70%",-50%,"R$ 49,50",71.15%,Jun 2021,,
,,"Vampire: The Masquerade - Coteries of New York
Midweek Deal",-90%,"R$ 3,79",70.77%,Dec 2019,,
,,"Surviving the Aftermath
Weekend Deal
all-time low: R$ 17,39 at -70%",-70%,"R$ 32,39",69.36%,Nov 2021,,
,,"Wurm Unlimited
Midweek Deal",-75%,"R$ 27,49",69.35%,Oct 2015,,
,,"Belladonna
Midweek Deal
all-time low: R$ 1,39 at -90%",-75%,"R$ 3,62",69.16%,Feb 2015,,
,,"Majesty 2
Weekend Deal
all-time low: R$ 4,24 at -75%",-75%,"R$ 8,99",67.49%,Sep 2009,,
,,"Warlock 2: The Exiled
Weekend Deal
all-time low: R$ 7,39 at -80%",-75%,"R$ 17,99",67.18%,Apr 2014,,
,,"King Arthur - The Role-playing Wargame
Weekend Deal
all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",66.84%,Nov 2009,,
,,"Souldiers
Midweek Deal
new historical low",-65%,"R$ 16,09",65.53%,Jun 2022,,
,,"WRC 5 FIA World Rally Championship
Midweek Deal",-90%,"R$ 2,06",65.39%,Oct 2015,,
,,"Victoria 3
Weekend Deal
new historical low",-76%,"R$ 43,19",65.09%,Oct 2022,,
,,"NECROPOLIS: BRUTAL EDITION
Weekend Deal
2-year low: R$ 11,19",-75%,"R$ 26,99",63.76%,—,,
,,"A Game of Dwarves
Weekend Deal
all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",61.63%,Oct 2012,,
,,"Euro Truck Simulator 2
2-year low: R$ 7,74",-75%,"R$ 15,49",96.62%,Oct 2012,,
,,"Slay the Spire
all-time low: R$ 16,14 at -66%",-66%,"R$ 25,49",96.55%,Jan 2019,,
,,"Bloons TD 6
2-year low: R$ 5,57",-65%,"R$ 9,76",96.31%,Dec 2018,,
,,"Dead Cells
current 2-year low",-50%,"R$ 23,74",95.88%,Aug 2018,,
,,"Hotline Miami
2-year low: R$ 3,39",-80%,"R$ 6,59",95.77%,Oct 2012,,
,,"The Wolf Among Us
Week Long Deal
2-year low: R$ 8,69",-50%,"R$ 25,00",95.71%,Oct 2013,,
,,"The Witcher® 3: Wild Hunt
all-time low: R$ 15,99 at -80%",-75%,"R$ 32,49",95.33%,May 2015,,
,,"Oxygen Not Included
all-time low: R$ 13,79 at -70%",-66%,"R$ 15,63",95.32%,Jul 2019,,
,,"Broforce
2-year low: R$ 6,24",-80%,"R$ 9,39",95.27%,Oct 2015,,
,,"Keep Talking and Nobody Explodes
all-time low: R$ 8,39 at -70%",-60%,"R$ 18,79",95.10%,Oct 2015,,
,,"Stronghold Crusader HD
all-time low: R$ 3,39 at -80%",-70%,"R$ 5,09",95.07%,Jul 2002,,
,,"Tales of the Black Forest
all-time low: R$ 2,60 at -70%",-70%,"R$ 4,13",95.06%,Sep 2019,,
,,"Tomb Raider
2-year low: R$ 5,24",-80%,"R$ 12,49",95.02%,Mar 2013,,
,,"GRIS
all-time low: R$ 8,24 at -75%",-80%,"R$ 9,39",94.94%,Dec 2018,,
,,"Milk inside a bag of milk inside a bag of milk
Week Long Deal
all-time low: R$ 1,04 at -70%",-50%,"R$ 1,74",94.75%,Aug 2020,,
,,"Mirror
all-time low: R$ 1,79 at -60%",-60%,"R$ 2,79",94.56%,Apr 2018,,
,,"Enter the Gungeon
all-time low: R$ 9,23 at -67%",-70%,"R$ 14,09",94.24%,Apr 2016,,
,,"Supreme Commander: Forged Alliance
all-time low: R$ 3,39 at -80%",-80%,"R$ 6,79",94.11%,Sep 2011,,
,,"FTL: Faster Than Light
all-time low: R$ 4,24 at -75%",-75%,"R$ 5,99",94.03%,Sep 2012,,
,,"Fox Hime Zero
all-time low: R$ 1,34 at -70%",-70%,"R$ 2,09",93.84%,May 2018,,
,,"Streets of Rogue
all-time low: R$ 9,49 at -75%",-75%,"R$ 14,99",93.81%,Jul 2019,,
,,"Crypt of the NecroDancer
all-time low: R$ 5,59 at -80%",-80%,"R$ 9,39",93.72%,Apr 2015,,
,,"FlatOut 2™
2-year low: R$ 3,39",-80%,"R$ 13,99",93.70%,Aug 2006,,
,,"shapez
all-time low: R$ 5,99 at -70%",-78%,"R$ 10,83",93.67%,Jun 2020,,
,,"Downwell
2-year low: R$ 2,07",-67%,"R$ 3,46",93.66%,Oct 2015,,
,,"Metal: Hellsinger
Week Long Deal
all-time low: R$ 26,09 at -67%",-60%,"R$ 31,63",93.63%,Sep 2022,,
,,"Paint the Town Red
2-year low: R$ 18,99",-50%,"R$ 29,99",93.63%,Jul 2021,,
,,"Superflight
all-time low: R$ 1,29 at -80%",-50%,"R$ 5,24",93.59%,Nov 2017,,
,,"The Talos Principle
2-year low: R$ 8,89",-85%,"R$ 13,34",93.47%,Dec 2014,,
,,"TY the Tasmanian Tiger
Week Long Deal
all-time low: R$ 9,79 at -65%",-50%,"R$ 13,99",93.47%,Dec 2016,,
,,"Bit Blaster XL
Week Long Deal
all-time low: R$ 1,09 at -50%",-50%,"R$ 1,74",93.15%,Jan 2016,,
,,"Orcs Must Die!
2-year low: R$ 4,13",-75%,"R$ 5,17",93.14%,Oct 2011,,
,,"Retrowave
2-year low: R$ 3,14",-50%,"R$ 5,24",93.10%,May 2022,,
,,"ROUNDS
all-time low: R$ 4,95 at -60%",-50%,"R$ 8,99",93.04%,Apr 2021,,
,,"AudioSurf
2-year low: R$ 4,99",-75%,"R$ 8,24",93.01%,Feb 2008,,
,,"Fluffy Store
all-time low: R$ 1,34 at -70%",-70%,"R$ 2,09",92.84%,Aug 2019,,
,,"Star of Providence
all-time low: R$ 7,99 at -50%",-50%,"R$ 23,49",92.72%,Jun 2017,,
,,"Rise of the Tomb Raider™
all-time low: R$ 17,00 at -80%",-80%,"R$ 24,99",92.70%,Feb 2016,,
,,"LYNE
2-year low: R$ 3,14",-60%,"R$ 4,19",92.69%,Mar 2014,,
,,"Stronghold HD (2012)
Week Long Deal
current 2-year low",-70%,"R$ 3,59",92.59%,Oct 2001,,
,,"Pikuniku
2-year low: R$ 6,72",-80%,"R$ 8,39",92.58%,Jan 2019,,
,,"FAR: Lone Sails
all-time low: R$ 5,79 at -80%",-85%,"R$ 7,04",92.51%,May 2018,,
,,"Stick Fight: The Game
all-time low: R$ 3,14 at -70%",-60%,"R$ 6,00",92.38%,Sep 2017,,
,,"DR LIVESEY ROM AND DEATH EDITION
all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",92.37%,Feb 2023,,
,,"Hotline Miami 2: Wrong Number
all-time low: R$ 4,99 at -80%",-85%,"R$ 7,04",92.32%,Mar 2015,,
,,"CARRION
all-time low: R$ 15,19 at -60%",-70%,"R$ 17,99",92.30%,Jul 2020,,
,,"Mount Your Friends
Week Long Deal
2-year low: R$ 3,67",-65%,"R$ 5,94",92.27%,Jul 2014,,
,,"Tales of Maj'Eyal
current 2-year low",-50%,"R$ 6,99",92.20%,Dec 2012,,
,,"A Plague Tale: Innocence
all-time low: R$ 25,98 at -80%",-80%,"R$ 27,98",91.88%,May 2019,,
,,"Long Live The Queen
Week Long Deal
2-year low: R$ 5,99",-65%,"R$ 9,09",91.88%,Nov 2013,,
,,"Descenders
all-time low: R$ 11,87 at -75%",-70%,"R$ 14,24",91.87%,May 2019,,
,,"Max Payne 2: The Fall of Max Payne
current 2-year low",-65%,"R$ 5,24",91.79%,Oct 2003,,
,,"Sleeping Dogs: Definitive Edition
current 2-year low",-85%,"R$ 8,39",91.67%,Oct 2014,,
,,"Chronicon
2-year low: R$ 16,73",-60%,"R$ 17,79",91.66%,Aug 2020,,
,,"Skul: The Hero Slayer
all-time low: R$ 18,99 at -50%",-50%,"R$ 29,99",91.63%,Jan 2021,,
,,"The Red Strings Club
all-time low: R$ 8,69 at -70%",-75%,"R$ 11,74",91.56%,Jan 2018,,
,,"Heat Signature
all-time low: R$ 5,59 at -80%",-60%,"R$ 11,19",91.56%,Sep 2017,,
,,"Wingspan
all-time low: R$ 18,99 at -50%",-50%,"R$ 29,99",91.47%,Sep 2020,,
,,"IRMÃO Grande & Brasileiro 2
all-time low: R$ 5,99 at -70%",-65%,"R$ 6,99",91.39%,Oct 2021,,
,,"Loop Hero
all-time low: R$ 11,54 at -67%",-67%,"R$ 15,50",91.32%,Mar 2021,,
,,"Gato Roboto
all-time low: R$ 4,97 at -70%",-75%,"R$ 6,62",91.17%,May 2019,,
,,"GORN
2-year low: R$ 24,04",-50%,"R$ 29,99",91.16%,Jul 2019,,
,,"The Jackbox Party Pack 4
all-time low: R$ 22,99 at -50%",-50%,"R$ 36,99",91.12%,Oct 2017,,
,,"Orcs Must Die! 2
2-year low: R$ 5,79",-75%,"R$ 7,24",91.06%,Jul 2012,,
,,"The Jackbox Party Pack 2
2-year low: R$ 20,69",-50%,"R$ 36,99",91.04%,Oct 2015,,
,,"HUNTDOWN
all-time low: R$ 7,59 at -80%",-80%,"R$ 11,99",90.95%,May 2021,,
,,"Sins of a Solar Empire®: Rebellion
2-year low: R$ 24,15",-70%,"R$ 32,39",90.86%,Jun 2012,,
,,"SEUM: Speedrunners from Hell
2-year low: R$ 9,23",-60%,"R$ 17,99",90.84%,Jul 2016,,
,,"Lords of the Realm II
all-time low: R$ 0,94 at -85%",-80%,"R$ 2,09",90.82%,Oct 1996,,
,,"Kiwi Clicker - Juiced Up
all-time low: R$ 5,44 at -50%",-50%,"R$ 8,49",90.77%,Jul 2022,,
,,"Super Amazing Wagon Adventure
current 2-year low",-66%,"R$ 3,56",90.72%,Oct 2013,,
,,"Legend of Grimrock
Week Long Deal
2-year low: R$ 6,99",-80%,"R$ 9,39",90.68%,Apr 2012,,
,,"Brigador: Up-Armored Edition
current 2-year low",-64%,"R$ 16,55",90.62%,Jun 2016,,
,,"Rogue Legacy
2-year low: R$ 5,59",-80%,"R$ 9,39",90.54%,Jun 2013,,
,,"APE OUT
all-time low: R$ 6,99 at -75%",-75%,"R$ 11,74",90.54%,Feb 2019,,
,,"Race The Sun
all-time low: R$ 1,99 at -90%",-75%,"R$ 8,24",90.50%,Dec 2013,,
,,"One Way Heroics
2-year low: R$ 1,79",-69%,"R$ 1,85",90.48%,Feb 2014,,
